id,company,hall,stand,profile_url
1357,Poly Edge Sdn Bhd,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=composting&f_type=profile
1358,Sirmax S.p.A.,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=composting&f_type=profile
1359,Futerro S.A.,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1360,BDI-BioEnergy International GmbH,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1361,Comerio Ercole S.p.A.,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1362,UL International Germany GmbH,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1363,WF Recycle-Tech Ltd.,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1364,Gummiwerk KRAIBURG GmbH & Co. KG,6,C58-03,https://www.k-online.com/vis/v1/en/search?_query=Kraiburg&f_type=profile
1365,KRAIBURG WALZENFERTIGUNG GMBH,6,C58-03,https://www.k-online.com/vis/v1/en/search?_query=Kraiburg&f_type=profile
1366,KABKOM KIMYA SANAYI VE TICARET A.S.,6,B68,https://www.k-online.com/vis/v1/en/search?_query=Hexpol&f_type=profile
1367,Kafrit Industries (1993) Ltd.,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=Kafrit&f_type=profile
1368,Delta Kunststoffe AG,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=Kafrit&f_type=profile
1369,POLYFIL USA,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=Kafrit&f_type=profile
1370,Delta Engineering bv,11,D02,https://www.k-online.com/vis/v1/en/search?_query=Delta&f_type=profile
1371,"DELTACHEM(QINGDAO)CO.,LTD",11,D02,https://www.k-online.com/vis/v1/en/search?_query=Delta&f_type=profile
1372,METRAVIB MATERIAL TESTING SAS,11,D02,https://www.k-online.com/vis/v1/en/search?_query=Delta&f_type=profile
1373,"Jinming Machinery (Guangdong) Co., Ltd.",17,A03,https://www.k-online.com/vis/v1/en/search?_query=BASF&f_type=profile
1374,LyondellBasell Industries Holdings B.V.,8a,G36,https://www.k-online.com/vis/v1/en/search?_query=LyondellBasell&f_type=profile
1375,Advanced Petrochemical Company JOINT STOCK,8a,G36,https://www.k-online.com/vis/v1/en/search?_query=LyondellBasell&f_type=profile
1376,SABIC,7,A30,https://www.k-online.com/vis/v1/en/search?_query=Sabic&f_type=profile
1377,Shamal Plastic Industries L.L.C,7,A30,https://www.k-online.com/vis/v1/en/search?_query=Sabic&f_type=profile
1378,Ravago S.A.,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1379,Polyplastics Europe GmbH,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1380,SNETOR OVERSEAS SA,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1381,Dongsung Chemical Co. Ltd.,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1382,Epaflex Polyurethanes Spa,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
