id,company,profile_url,hall,stand
1122,BBA Innova AG,https://www.k-online.com/vis/v1/en/exhprofiles/VNebb3nRSO2Alqfe0OyCgA,16,A59
1127,Bruker BioSpin GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/IMTyrdkhRiyaH1YoVhATUg,11,A59
1128,Bruker Optics GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/eLqFL91ZRbqwcmRtT92kqg,11,A59
1130,C. H. Erbslöh GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/AdTqOKt9Rzef5N57O3qgqw,7,A11
1132,"CAS, A division of the American Chemical Society",https://www.k-online.com/vis/v1/en/exhprofiles/ervoAiCUSWyn7ybqVYaLjg,5,C09-4
1133,Sukano AG,https://www.k-online.com/vis/v1/en/exhprofiles/xu0WG7ZuSuC05N9zWa5qRw,8a,H28
1134,Gema Elektro Plastik ve Elektronik San. Dis Tic. A.S.,https://www.k-online.com/vis/v1/en/exhprofiles/Y1LU5tMFQEqkjOR1uXkGlQ,8a,K36
1135,"ITENE Packaging, Transport & Logistics Research Center",https://www.k-online.com/vis/v1/en/exhprofiles/sp5EsVNmTcKQjB9ZfgkBdg,5,E01
1137,QolorTech BV,https://www.k-online.com/vis/v1/en/exhprofiles/9Bza1MFyR329DmeQRfyz7Q,8a,D43
1142,Frilvam S.p.a.,https://www.k-online.com/vis/v1/en/exhprofiles/tWBHVsniSrSCMFN1dJYcww,7,A05
1148,INDUSTRIE POLIECO - M.P.B. SPA,https://www.k-online.com/vis/v1/en/exhprofiles/E6RY9OBeTdSOHOcTmS79Xg,6,E24
1149,"Shenyang Ketong Plastic Co. ,LTD",https://www.k-online.com/vis/v1/en/exhprofiles/fTKeFcboQtCExiTvr8Wdlw,8b,E41
1151,L. Brüggemann GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/8DXpY5FwQ1KJZhFyE5UeCQ,8a,D08
1152,WTH Walter Thieme Handel GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/XjD4uMIKRouMTMr2ledQJQ,8b,F46
1153,ARGUS Additive Plastics GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/wvuXAFepTniIPMr49l6k5g,6,A39
1154,"Clariant SE, Frankfurt am Main Muttenz Branch, Switzerland",https://www.k-online.com/vis/v1/en/exhprofiles/Q4yGS8xET6aSwbbmSU6QcQ,8a,J11
1155,IMI FABI S.p.A.,https://www.k-online.com/vis/v1/en/exhprofiles/W37aojJeREGNBHsORd1pNA,7,A09
1158,GRAFE GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/96pyxEwhTuWT5CvqfPSDpQ,6,25
1159,ADEKA Polymer Additives Europe SAS,https://www.k-online.com/vis/v1/en/exhprofiles/rhGyqiD4QlSGtFeTlQiMGg,6,A11
1163,IMERYS SA,https://www.k-online.com/vis/v1/en/exhprofiles/IQgyqNJYSjmNMLYV9eQQ1Q,8a,F40
1164,PALMAROLE AG,https://www.k-online.com/vis/v1/en/exhprofiles/wTQImTYURnyeZi9OWMlDLw,8b,D55
1165,Supreme Petrochem Ltd.,https://www.k-online.com/vis/v1/en/exhprofiles/bsar5mSESpWWTVs82vYVGw,8b,C70
1166,"NIPPON TALC CO., LTD.",https://www.k-online.com/vis/v1/en/exhprofiles/rDnCMzKLQXO7hvOqmo7e1w,7,B24
1167,Axens SA,https://www.k-online.com/vis/v1/en/exhprofiles/FvdHZNxYQfqX9cMMGhOXuA,5,D04-10
1168,Marangon Danilo & C. S.r.l.,https://www.k-online.com/vis/v1/en/exhprofiles/b9iJ4E4PQ3mBDIg2HNVbEw,1,A63
1170,SHL Advantec AG,https://www.k-online.com/vis/v1/en/exhprofiles/8L27nOXbSGeA5CHKlFop0A,12,C35-03
1171,BYK-Chemie GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/6ALmXfA5QgO4sNafAh37qg,5,E17
1173,Torimex Group Sp z o.o.,https://www.k-online.com/vis/v1/en/exhprofiles/IqujAY5XS2GGfkzlkc9ceQ,7,A11
1174,GKG Goldmann Kunststoffe GmbH & Co. KG,https://www.k-online.com/vis/v1/en/exhprofiles/UaszwGjrTFqRjZwbXiVcLw,7,D41
1195,Sitra S.p.A. Masterbatch,https://www.k-online.com/vis/v1/en/exhprofiles/Qq7xvlNBTkCx2MaZuNLf4w,8a,K42
1197,Cabot Switzerland GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/r4Ur6jFFT4uAhBgV2HkTDA,6,E62
1198,"Delta Tecnic, S.A.",https://www.k-online.com/vis/v1/en/exhprofiles/T2968m7uTlieFctAoHE6cg,8a,K32
1199,ELSEWEDY POLYMERS JSC,https://www.k-online.com/vis/v1/en/exhprofiles/4XSXyCWbRE2e7j8pmx9meg,7,E18
1204,Alok Masterbatches Pvt. Ltd.,https://www.k-online.com/vis/v1/en/exhprofiles/UUpjqJGTTZqarXOQ7GZPcw,8a,B12
1205,COLORFIX Itamaster ind de Masterbatches LTDA,https://www.k-online.com/vis/v1/en/exhprofiles/vWgi33LaQZiTdHAtZDFVQA,8b,H30
1207,Blend Colours Pvt. Ltd.,https://www.k-online.com/vis/v1/en/exhprofiles/S0PkcPFiRDiuSiJI2sTOBQ,8b,H65
1208,High Grade Industries (India) Pvt.Ltd,https://www.k-online.com/vis/v1/en/exhprofiles/ffvvotKmSwq11iaIfTbl2A,8a,B46
1209,BRIGHT COLORS SA,https://www.k-online.com/vis/v1/en/exhprofiles/5l0DdUqHRNK0eKhUPVlOAA,5,E26
1210,Chrostiki S.A.,https://www.k-online.com/vis/v1/en/exhprofiles/OM3E5h5QTimW9XWiguNChA,6,D46
1213,AF-COLOR Zweigniederlassung der AKRO-PLASTIC GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/y9vE4iDOSVeQtFuIb22UdA,6,C76
1214,JJ Plastalloy Pvt. Ltd.,https://www.k-online.com/vis/v1/en/exhprofiles/1P4dLhUCTYGox4WeKEN7AQ,7,C20
1218,LIFELINE TECHNOLOGIES,https://www.k-online.com/vis/v1/en/exhprofiles/s2tbwV4cQhmMLfOkogXyuA,7,C07
1219,M J PIGMENT AND ADDITIVES PVT. LTD.,https://www.k-online.com/vis/v1/en/exhprofiles/ArAvsR03StuOPM5y2Nbzfg,7,A27
1221,BioCote Ltd,https://www.k-online.com/vis/v1/en/exhprofiles/pKNNtKr7SDmhcW3IVQpVMA,5,A37
1222,Symphony Environmental Ltd,https://www.k-online.com/vis/v1/en/exhprofiles/a7Hakne3RIWYzxjh2xwAIg,8a,B40
