id,company
1262,motan extrusion engineering gmbH
1263,"Nordson Extrusion Dies Industries, LLC"
1264,Reifenhäuser Extrusion Systems GmbH
1265,Rollepaal Pipe Extrusion Technology B.V.
1266,Shubham Extrusion Technik Pvt. Ltd.
1267,UWAY Extrusion LLC
1268,diamat Maschinenbau GmbH
1269,Gneuss Kunststofftechnik GmbH
1270,Hans Weber Maschinenfabrik GmbH
1271,Maillefer SA
1272,MULTIPLAST Kunststoffverarbeitung GmbH
1273,"PTi Processing Technologies International, LLC"
1274,Astra Polymer Compounding Co. Ltd.
1275,"Kechuang Plastics Compounding Co., Ltd."
1276,NG Nordic Finland Oy
1277,Rokyplast SAL
1278,Battaggion S.p.A.
1279,Thermoware Particle Foam Machinery BV
1280,"Hangzhou Fangyuan Plastics Machinery Co.,Ltd"
1281,"Hangzhou SUTUAN Machinery CO., LTD."
1282,Altero Recycling Machinery S.L.
1283,"Chi-Chang Machinery Enterprise Co., Ltd."
1284,"King Steel Machinery Co., Ltd."
1285,"Qingdao Tongsanhegu Plastic Machinery Manufacturing Co., Ltd."
1286,Kurtz GmbH & Co. KG
1287,CANNON
1288,Hennecke GmbH
1289,Tecnodinamica S.r.l.
1290,Teubert Maschinenbau GmbH
1291,"PARTICLE FOAMTEC CO., LTD"
1292,AKKAYA EPS MAK.IML.SAN.VE TIC.A.S.
1293,ALESSIOHITECH SRL
1294,DDL srl
1295,EDILTECO S.p.A.
1296,Nuova Idropress S.p.A.
1297,Rajoo Engineers Ltd.
1298,Viro d.o.o.
1299,Fill Gesellschaft m.b.H.
1300,Isotherm AG
1301,KraussMaffei Technologies GmbH
1302,Albrecht Bäumer GmbH & Co. KG
1303,UAB Terekas
1304,"HAO YU PRECISION MACHINERY INDUSTRY Co., Ltd."
1305,"Horng En Co., Ltd."
1306,MUEHSAM Rozwiązania Dla Przemysłu Sp.j.
1307,"PELLENC ST, SAS"
1308,Erema Engineering Recycling Maschinen und Anlagen GmbH
1309,ECO-WORLD Plastics Recycling Sebastian Duma Sp.k.
1310,Interzero Plastics Recycling GmbH
1311,KBM Plastic Machinery LLP
1312,"Dongshan Plastic Machinery Co., Ltd"
1313,Özgülmak Plastic Machinery Ltd.
1314,Plastic Energy Ltd.
1315,Bollegraaf Recycling Solutions BV 9900AH
1316,HAMOS GmbH Recycling- und Separationstechnik
1317,Naeco Recycling S.L.
1318,NGA Plastic Technology Pvt. Ltd.
1319,Panwrite Plastic Industries Sdn. Bhd.
1320,Plastic is Fantastic
1321,SIKOPLAST Recycling Technology GmbH
1322,SINTAC RECYCLING S.L.
1323,ZERMA Machinery & Recycling Technology Co. Ltd.
1324,"Ztech Plastic Machinery Manufacturing Co.,Ltd."
1325,Avian Machinery Group
1326,Euro Machinery APS
1327,Pureloop GmbH
1328,EKOTREND Ludky s.r.o.
1329,HolyPoly GmbH
1330,Thees Kunststoffverarbeitung GmbH
1331,Bernhard Ide GmbH & Co. KG Werkzeug- und Maschinenbau für die Kunststoffverarbeitung
1332,Zeppelin Systems GmbH
1333,CORAL A.E. OIL & CHEMICALS COMPANY SA
1334,Fraunhofer Cluster Circular Plastics Economy CCPE
1335,EKATO Rühr- und Mischtechnik GmbH
1336,Promeco S.p.A.
1337,Borealis GmbH
1338,Carboliq GmbH
1339,"Innovative Flexotech Pvt. Ltd,"
1340,ORLEN Unipetrol RPA s.r.o.
1341,Process Control GmbH
1342,ROLF SCHLICHT GmbH
1343,Sipchem Innovent SA
1344,TotalEnergies Petrochemicals & Refining SA/NV
1345,Coperion GmbH
1346,Cumapol Emmen BV
1347,Fych Technologies S.L.
1348,RTC TEC Baglanti Elemanlari San. Tic. A. S.
1349,GEMINI CORPORATION N.V.
1350,Meltem Kimya ve Tekstil San. Ith. Ihr.ve Ticaret A.S
1351,Enyax Srl
1352,HAPLAST JSC
1353,Costruzioni Meccaniche TECOM srl
1354,MAMATA MACHINERY LTD
1355,Notpla Limited
1356,PiovanGroup
1357,Poly Edge Sdn Bhd
1358,Sirmax S.p.A.
1359,Futerro S.A.
1360,BDI-BioEnergy International GmbH
1361,Comerio Ercole S.p.A.
1362,UL International Germany GmbH
1363,WF Recycle-Tech Ltd.
1364,Gummiwerk KRAIBURG GmbH & Co. KG
1365,KRAIBURG WALZENFERTIGUNG GMBH
1366,KABKOM KIMYA SANAYI VE TICARET A.S.
1367,Kafrit Industries (1993) Ltd.
1368,Delta Kunststoffe AG
1369,POLYFIL USA
1370,Delta Engineering bv
1371,"DELTACHEM(QINGDAO)CO.,LTD"
1372,METRAVIB MATERIAL TESTING SAS
1373,"Jinming Machinery (Guangdong) Co., Ltd."
1374,LyondellBasell Industries Holdings B.V.
1375,Advanced Petrochemical Company JOINT STOCK
1376,SABIC
1377,Shamal Plastic Industries L.L.C
1378,Ravago S.A.
1379,Polyplastics Europe GmbH
1380,SNETOR OVERSEAS SA
1381,Dongsung Chemical Co. Ltd.
1382,Epaflex Polyurethanes Spa
1383,PROFILE
